id,书院名id(CBDB),书院id(CBDB),书院名,建院时间,建院年号,建院朝代,建書院者,繁盛朝代,书院地址,书院地址x坐标,书院地址y坐标,建築,建築時間,經費來源,經費數目,捐贈者,捐贈物資,捐贈時間,是否有藏書,是否有藏書備註,改建/擴建/重修者,改建/擴建/重修時間,重建者,重建時間,祀Y,書院類型,書院類型備註,出版物類型,出版物時間,重大事件,任職/學生,任職/就學時間,別稱,並稱,學派備註,被毀時間,被毀時間備註,設定制度者,設定制度時間,出版物,改制名稱,改制時間,信息來源,前身信息,经济制度,招生制度,藏书,书院制度,销毁的建筑（时间）,书院出处,书院出处页码,备注,信息收集
18,,,崇本書院,,,,楚王榮?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
19,,,寶善書院,,,,晉王新?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
20,,,明教書院,,,,寧河王奇法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
21,,,純心書院,,,,楚王英?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
22,,,好礼書院,,,,交城王表佃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
23,,,樂善書院,,,,岷王定燿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
24,,,遵道書院,,,,趙府管理府事成皋王載琓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
25,,,崇德書院,,,,吉王翊鎮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
26,,,遵訓書院,,,,廣濟王定?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
27,,,樂善書院,,,,華陽王承爝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
28,,,樂善書院,,,,山陰王俊柵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
29,,,樂善書院,,,,山陰王俊柵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
30,,,勉學書院,,,,商河王載塨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
31,,,思訓書院,,,,高堂王厚煥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
32,,,愽文書院,,,,樂安王多焿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
33,,,遜學書院,,,,益王翊鈏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
34,,,景賢書院,,,,鄭王厚烷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
35,,,學文書院,,,,上蔡王載土夜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
36,,,勉學書院,,,,孟津王載土坐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
37,,,寶善書院,,,,晉王敏淳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
38,,,循理書院,,,,東垣府翊鎧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
39,,,弘訓書院,,,,樂昌王廷儒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
40,,,味道書院,,,,繁昌王厚爃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
41,,,循理書院,,,,廬江王厚光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
42,,,守文書院,,,,建德王翊鋐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
43,,,崇德書院,,,,楚王葉奎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
44,,,瑒谷書院,明代,,,吉藩王,,長沙城壽山廟,,,,,,,,,,,,,,,,,教學与研究,,,,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
45,,,惜陰書院,,,,,,長沙府城南門外靈官渡,,,聚英樓、藏書閣，門廡、池亭；祠宇,嘉靖四十三年；乾隆二十一年（1756）,,,,,,,,知縣李延爵（呂廷爵？）；（知府）蔣宏德、（推官）翟台；（知府）吳道行、（知縣）陳一鑒；（知縣）陳弘乘續修；（巡撫）陳宏謀,嘉靖四年（1525）；嘉靖四十三年；萬曆十五年（1577）；嘉靖二十九年；乾隆二十一年（1756）,,,,,,,,,（山長）張元汴；（分巡副使）李天植,；；,,,,,,,,,,,湖南书院史稿,舊為陶公祠,置学田,,,,,,,,陈慧
46,,,湖湘書院,,,,（巡撫）李發甲,,長沙府,,,,,,,,,,,,,,,,,教學与研究,,,,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
47,,,校經書院,清道光十一年（1831）,,,（巡撫）吳榮光,,長沙,,,書樓,光緒二十年,,,,,,是,中西學書籍,,,,,,教學与研究,,,,,岳麓、城南二書院山長歐陽厚均、賀熙齡主持；（有名教師）有寶應成蓉鏡、巴陵舉人杜貴墀、湘潭胡元儀等；（知名生徒）有湘潭祭酒王先謙、善化進士杜本崇、嘉禾進士雷飛鵬、常寧進士王良弼、祁陽舉人李馥、善化拔貢凌玉垣、桂陽州拔貢鄧丙明、瀏陽拔貢自立軍起義烈士唐才常等,,,,,,,,清道光十一年（1831）,,,光緒二十年,湖南书院史稿,原名湘水校經堂，又名湘水校經書院。光緒十六年，學政張亨嘉遷建於湘春門，更名校經書院,,分經義、治事、詞章三科試士，教學漢宋並重，倡導乾嘉學風。時“多士景從，咸知講求實學”。十六年吳離任，課業遂廢。咸豐末年，巡撫毛際可嘗重開經史之課，不久即停。光緒五年（1879），湖南學政朱逌然遷建城內天心閣城南書院舊址，正式設山長，下轄經、史、文、藝四學長及提調、監院各一人，定額招本省及商籍生徒二十四名肄業其中。光緒十六年，學政張亨嘉遷建於湘春門，更名校經書院，生額擴至四十四名。,,,,,,,陈慧
48,,,求忠書院,清咸豐四年（1854）,,,（巡撫）駱秉章據鄉紳曾國潢等人,,長沙府城北門內古荷花池東,,,頭門、二門、講堂、山長室、魁星祠、近思、篤志齋；近思新齋十一間（增建）,清咸豐四年（1854）；同治六年（1867）,湘軍將領捐贈；省城鹽、茶、東征三局籌款,,,,,,,,,,,,教學与研究,,,,光緒二十九年（1903）改忠裔學堂,,,,（與岳麓、城南書院同稱）“清末湘省三書院”,,,,,,,,,湖南书院史稿,,,招收湘軍死難將帥子弟肄業,,設生監世職正附課、童生正附課，計四十名，後增至五十六名；,,,,,陈慧
49,,,思賢講舍,清同治、光緒之際,,,郭嵩濤,,長沙府,,,,,,,,,,,,,,,,,教學与研究,,,,,（著名山長）有郭嵩燾、孔憲教、王先謙、王闓運、蔡枚功,,,,,,,,,,,,湖南书院史稿,,,招生徒二十人，不教舉業，專講經史,,,,,,,陈慧
50,,,孝廉書院,清光緒九年（1883）,,,（湖南巡撫）卞寶第,,長沙府,,,,,,,,,,,,,,,,,教學与研究,,,,,,,,,,,,,,,,,湖南书院史稿,,,全省舉人肄業之所,,,,,,,陈慧
51,,,求賢書院,清光緒二十一年（1895）,,,（湖南巡撫）吳大澂,,長沙府,,,,,,,,,,,,,,,,,教學与研究,,,,,,,,,,,,,,,,,湖南书院史稿,,,由岳麓、城南、求忠三書院山長舉送舉貢生童肄業,,,,,,,陈慧
52,,,求實書院（時務學堂）,清光緒二十三年（1897）,,,熊希齡等,,長沙府,,,,,,,,,,,,,,,,,教學与研究,,,,,（中文總教習）梁啟超；（西文總教習）李維格,光緒二十三年（1897）；光緒二十三年（1897）,,,,,,,,,,,湖南书院史稿,原名時務學堂，清光緒二十五年，巡撫俞廉三改為求實書院,,,,,,,,,陈慧
53,,,隱珠書院,元代,,,劉氏,,長沙縣,,,,,,,,,,,,,,,,,教學与研究,,,,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
54,,,環中書院,明代,,,（縣人）陳時中,,長沙縣,,,,,,,,,,,,,,,,,教學与研究,,,,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
55,,,詁經書院,清光緒初,,,（巡撫）劉崐,,長沙縣,,,,,,,,,,,,,,,,,教學与研究,,,,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
56,,,星沙書院,清代,,,,,善化縣城小西門正街,,,,,,,,,,,,,,,,,教學与研究,,,,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
57,,,文定書堂,宋紹興間,,,胡宏,,湘潭縣,,,,,,,,,,,,,,,,,教學与研究,,,,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
58,,,竹泉書院,明嘉靖初,,,（知縣）高應楨,,湘潭縣,,,,,,,,,,,,,,,,,教學与研究,,,,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
59,,,昭潭書院,清康熙五十九年（1720）,,,（知縣）方伯,,湘潭縣治西,,,,,學田,,（知縣）李松；（知縣）鮑啟泌、（知縣）蘇畼華；（知縣）羅宏漳；（邑紳）袁教之等,學田；；增學田至九百餘畝；捐銀近萬兩，增學田至二千餘畝，年收租谷二千一個百石,乾隆八年（1743）；；康熙三十六年；同治三年（1864）,是,光緒十三年（1887），邑人彭會昌、陶成易等增購新書藏於奎星閣。,（知縣）（增建）羅宏漳,康熙三十六年,,,,教學与研究,,,,,（山長）寧鄉王坦修、善化俞東枝、衡山林學易、本縣龍瑛、王闓運（以船山書院山長兼）,；,,,,,,,,,時邑人潘世曉等制訂擇院長、選生徒、變氣質、敦友誼、尚實學、定課程、謹防閑、愛學舍等《學約》八條，教諸生以經史為“學問之根”，“究心”十三經、二十二史及諸子百家，不得徒“工八股，博取榮名利祿”。,康熙三十六年,湖南书院史稿,,,,,,,,,,陈慧
60,,,霞山書院,清同治,,,中教諭鄒湘倜,,湘潭縣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
61,,,仰高書院,,,,（知縣）張燈,,在湘陰縣城內仰高山，舊在縣西河濱,,,,,,,,,,,,左宗棠,光緒四年（1878）,（知縣）徐梁棟重修；（知縣）李其豐改建城南,清乾隆十二年（1747）；嘉慶十四年（1809）,,,,,,,（山長）泰州李蓉鏡、長沙俞東枝、安化黃崇光、寧鄉王忭、本縣周錫薄、黃世銘、易堂俊等；（學生）有郭嵩燾、易玉章、吳英樾、宋開甲、姚騰漢,,,,,,,,,,,,湖南书院史稿,,,嘉慶十四年（1809），知縣李其豐改建城南，設生員正課十名，附課十名，童生正課二十名，附課二十名。咸豐七年（1857），知縣諸桓增加生額，定生員正課十五名，附課十名，童生正課三十名。附課二十名。光緒四年（1878），左宗棠增正課生童三十名。,,,,,,,陈慧
62,,,道山書院（雲（靈）峰書院）,,,,,,寧鄉縣東三十里道山之陽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
63,,,玉潭書院,明嘉靖二年（1523）,,,（知縣）胡明善,,寧鄉縣,,,講堂、定性堂、文昌閣、崇道祠、奎星樓、倉廒及正誼、明道、主敬、存誠、進德、居業六齋；,乾隆十九年（1754）,學田,,,,（知縣）王綱、汪大壯,,,,,（邑紳）鄧竹林等,乾隆十九年（1754）,,,,書院志（山長劉紹濂首刊《玉山書院志》）；书院辑略（《玉潭書院輯略》）,乾隆二十二年,,（山長）周子採；（山長）周增瑞；（山長）王恩、王忻、楊業萬、黃道恩、劉開誠、童轝、周瑞松、胡端經、馬維藩、邊維藩、梅鑒源,明嘉靖二年（1523）；；；,,,,清順治四年（1647）；咸、同間,毀於兵火；毀於兵、水之災，旋即修複,,,《玉山書院志》；《玉潭書院輯略》,,,湖南书院史稿,原名玉山書院,,額定每年招生五至六十名，每月課文三次，每月晨起、早讀、講書、晚讀皆以擊梆為節,,道光二十九（1849）年，設推廣正課二十名。,,,,,陈慧
64,,,雲山書院,清同治四年（1865）,,,（邑人原陝西巡撫）劉典倡,,寧鄉縣西九十里六都一區,,,步雲橋、總會門、東西雲門、講堂、崇道堂、希賢堂、先賢堂、仰極台、凌雲亭、奎光閣、文昌閣、藏書樓、東西八齋,清同治四年（1865）,學田,田產六百六十餘畝，年收租一千三百餘石,士紳,,,,,,,,,,,,書院志《寧鄉雲山書院志》,,1917年毛澤東居此進行農村調查,（山長）周瑞松、洪汝源、薑於岡、何祥墀、廖潤鴻、王章永；（学生+任教）何叔衡、薑夢周、王凌波、謝覺哉,,,,,,,,,《寧鄉雲山書院志》,,,湖南书院史稿,,,,,,,,,,陈慧
65,,,南山書院,明弘治中,,,（學使）歐陽旦,,瀏陽縣南,,,,,,,,,,,,,,,,歐陽玄,,,,,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
66,,,南臺書院,元代,,,梁子真,,瀏陽縣縣治橫街,,,,,學田,學田五百畝，租谷八百餘石,,,,,,（知縣）顧維鈁,乾隆十年（1745）,,,,,,,,,（山長）長沙舉人袁懋森、本縣舉人邱慶鈞等,,,,,,,,,,,光緒二十四年；戊戌變法後,湖南书院史稿,,,同治六年（1867），增加生童正附課額各二名，時計有生監正附課各十二名，童生正附課各二十二名。,,,,,,,陈慧
67,,,獅山書院,清道光十九年（1839）,,,（董事）李芸、王啟選等,,瀏陽縣東四十里,,,東西門、泮池、頭門、龍門、講堂、去思堂、文昌閣、延英閣、藏書樓，及明善、時術、敬業、致道、瓣香諸齋,,,,,,,,,李芬（迁建）,咸豐十年,,,,,,書院志《瀏東獅山書院志》八捲,光緒四年（1878）,,（院长）袁舒英、程人熾、李傳敏、曹光漢、吳敏樹、許如駿、柳先賡、陳伊鼎、袁懋森、程椿壽、左宜、胡鈞學、但復旦、寧輝鉞、王介祺、文德基,,,,,咸豐二年（1852）,毀於兵火。,,,,,,湖南书院史稿,,,每年招生監正副課各十名、童生正副課各二十名，每月逢三館課、堂課，試詩文各一，皆山長命題，惟後者當堂交卷,,二十四年，始招生肄業。設首事八人，下轄書辦、齋長、門堂夫、齋夫等處理院務，聘山長主持教務。,,,,,陈慧
68,,,洞溪書院,清道光二十七年（1837）,,,張良贊及其妻,,瀏陽縣東張家坊,,,大門、龍門、講堂、大成殿、文昌宮、魁星樓、攬英閣及主敬、存誠（作藏書處）、亦樂、鬥文、敬業、誠意、志道、養心諸齋,,田畝、店屋,,張良贊；張昌芾、李元善,田畝、店屋；；,清道光十七年（1837）；,,,裡人（扩建）,咸豐十一年,,,崇義祠祀張氏夫婦，梓敬堂祀有功於書院之知縣及捐資者,,,《瀏東洞溪書院志》上、下捲,光緒二十五年（1899）,,（山长）萬載湯戍三、潘梓材、湯肇熙，新昌熊清河，長沙周湘黼、袁懋森、陳鴻業，湘陰郭崑燾、姚騰漢，龍山李如崑、酸陵吳德襄，本縣熊沖之、邱慶浩、邱景崙、黎先匯,,,,,同治六年,毀於兵火，同治八年得以修复,,,,,,湖南书院史稿,,,每年招生監正副課各五名，童生正課十名、副課二十名；,,每年官課四次，知縣、教諭、訓導分別主持；每月堂課三次、經古課一次，皆院長命題，前者作文一、詩一，後者為古學、經學、史學、算學，兼出“四書”題。凡課試前列者有獎，其文則“另謄待選，交經理首事收入藏書閣候梓”。,,,,,陈慧
69,,,文華書院,清道光二十一年（1841）,,,（知縣）胡泰階、（邑人）劉大馥、（邑人）甘崇勛、（邑人）陳蕃庶、（邑人）劉大墉、（邑人）李南雅等,,瀏陽縣南文家市,,,前後殿、文昌閣、東西齋,,學田,田租七百餘石,,,,,,（知縣）趙光裕；；；,咸豐元年（1851）；同治三年（1864）；同治八年,,,,,,,,1927年9月19日，毛澤東率秋收起義部隊集結於此，並召開前敵委員會，部隊在此誓師，向井岡山開進,（知名山長）有江西彭夢彰、長沙裴懋森、本縣邱慶鈞等,,,,,,,,,,,,湖南书院史稿,,,每年招生監正附課十二名，童生正附課十六名，入院肄業,,,,,,,陈慧
70,,,石山書院,清同治十三年（1874）,,,張頌卿等,,瀏陽縣北鄉,,,大門、講堂、正殿、魁星樓、居業齋、鄉賢祠、名媛祠等,,,,,,,,,,,,,（名媛祠）北鄉婦女捐建書院之人,教學与研究,,書院專書文獻：《石山書院匯紀》三捲,光緒十年（1884）,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
71,,,瀏陽算學館,清光緒二十三年（1897）,,,譚嗣同、唐才常、歐陽中鵠等,,瀏陽縣城,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湖南书院史稿,南臺書院,,,,,,,,,陈慧
72,,,啟蒙書院,清道光三年（1823）,,,（知縣）魯起元,,瀏陽縣西城外,,,,,,歲入租息三十餘緡,歐陽道莊,捐錢一百串,,,,,,,,,,,,,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
73,,,金江書院,清代,,,,,瀏陽縣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
74,,,文光書院,清代,,,,,瀏陽縣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
75,,,圍山書院,清代,,,,,瀏陽縣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
76,,,東萊書院,,,,,,醴陵縣治後,,,,,,,,,,,,,,（知縣）張法孔,清順治十七年（1660）,,,,書院單書文獻《醴陵萊山書院記》,,,,,,,,,,,,,,,湖南书院史稿,舊名萊山書院,,,,,,,,,陈慧
77,,,超然書院,明崇禎四年（1631）,,,（知縣）朱三才,,醴陵縣治北,,,課堂、迴廊、齋舍等,明崇禎六年（1633）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湖南书院史稿,,,,,,,,,,陈慧
78,,,明誠書院,明正德中,,,湛若水,,廣東增城,,,白沙祠；席光亭；瑞賢堂；觀善堂；齋舍；庖廚；親師堂寢,正德中；正德中；嘉靖三十一年（1552）；嘉靖三十一年（1552）；嘉靖三十一年（1552）；嘉靖三十一年（1552）；嘉靖三十一年（1552）；,湛若水出資,歲凡一百二十八石,,,,,,朱道瀾；何天祿；湛若水；,嘉靖初年；嘉靖二十四年（1545）；嘉靖三十一年（1552）,知縣蔡淑；城內紳士,清康熙 年間；清乾隆初年,陳獻章,,,,,,湛若水；張潮（院長）,嘉靖中,,,甘泉心學,,,,,,,,《甘泉先生續編大全》《增城縣志》,,,,,,,,,,肖嘯
79,,,大科書院,正德十四年（1519）,,,湛若水,,廣州府南海縣西樵山,,,棲霞樓；茹芝堂；正義堂；崇經樓；樂閣；麗澤亭；峻潔亭；凝道堂；進修齋；敬義齋；寅賓館；禮門；太史坊,正德十二年（1517）到正德十六年,湛若水出資,,陳洪顯（湛若水門人）,學田28畝,正德十四年（1519）,,,,,,,陳獻章,,,,,,湛若水；張希載（山長）,正德末；嘉靖中,,,甘泉心學,,,,,,,,《泉翁大全集》《涇野先生文集》《西樵遊覽記》,,,,,,,,,,肖嘯
80,,,雲谷書院（雲谷精舍）,正德十二年（1517）,,,湛若水,,廣州府南海縣西樵山,,,白沙祠；息存堂；察倫堂；憩雲亭；尊師堂；會友堂；小歇亭；入道門；見泉樓；二妙樓,正德十二年建白沙祠，其餘皆為嘉靖二十三年至二十五年（1544-1546）增建,湛若水出資,28畝,湛若水,28畝學田,,,,湛若水,嘉靖二十三年至二十五年（1544-1546）,,,陳獻章,,,,,,湛若水,嘉靖中,,,甘泉心學,,,,,,,,《甘泉先生續編大全》《西樵遊覽記》,,,,,,,,,,肖嘯
81,,,獨岡書院,正德十五年（1520）,,,湛若水,,廣州府增城縣甘泉都沙貝村,,,二解堂；玄明石室,正德十五年；嘉靖二十三年（1544）,湛母陳氏,,湛母陳氏；湯?,義倉；?禮,正德十五年；正德十六年,,,湛若水,嘉靖二十三年,,,,,,,,,湯?；湛若水,正德末；嘉靖中,,,甘泉心學,,,,,,,,《泉翁大全集》《甘泉先生續編大全》,,,,,,,,,,肖嘯
82,,,蓮洞書館,嘉靖十五年（1536）,,,湛若水,,廣州府增城縣清湖都之娥眉山,,,正堂三間、左右偏堂三間，講堂五間、門樓三間、齋舍數十間,嘉靖十五年,縣內搗毀“淫祠”所得資金,,知縣文章；縣丞劉永；主簿馬林,俸資,嘉靖十五年,,,,,,,,,,,,,湛若水,嘉靖中,,,甘泉心學,,,,,,,,《泉翁大全集》,,,,,,,,,,肖嘯
83,,,甘泉洞書館,嘉靖十五年（1536）,,,湛若水,,廣州府增城縣甘泉都甘泉洞,,,講堂、門樓、廊翼,嘉靖十五年（1536）,湛若水出資,,,,,,,,,,,,,,,,,湛若水,嘉靖中,,,甘泉心學,,,,,,,,《泉翁大全集》,,,,,,,,,,肖嘯
84,,,龍潭精舍,嘉靖中,,,湛若水,,廣州府增城縣,,,,,湛若水出資,,,,,,,,,,,,,,,,三十九年（1560），湛氏以九十五岁高龄偕诸生在此开办讲会，时门人涨潮、钟景星、庞嵩等侍奉在侧,湛若水,嘉靖中,,,甘泉心學,,,,,,,,《甘泉先生續編大全·補編》,,,,,,,,,,肖嘯
85,,,天階精舍,嘉靖中,,,湛若水,,廣州府南海縣西樵山麓,,,半雲亭、披云堂、義倉,,湛若水出資,,,,,,,,,,,,,,,,,湛若水,嘉靖中,,,甘泉心學,,,,,,,,《甘泉先生續編大全》,,,,,,,,,,肖嘯
86,,,朱明精舍,嘉靖十五年（1536）,,,湛若水,,惠州府博羅縣羅浮山朱明洞,,,齋舍、講堂、門廊、庖廚,嘉靖十五年-嘉靖十七年（1536-1538）,湛若水出資,,,,,,,,,,,,,,,,,湛若水,嘉靖中,,,甘泉心學,,,,,,,,《泉翁大全集》,,,,,,,,,,肖嘯
87,,,天華精舍,嘉靖十九年（1540）,,,湛若水,,惠州府博羅縣羅浮山黃龍洞,,,四賢祠,嘉靖十九年,湛若水出資,,,,,,,,,,,周敦頤、羅從彥、李侗、陳獻章,,,,,,湛若水,嘉靖中,,,甘泉心學,,,,,,,,《泉翁大全集》《（嘉靖）惠州府志》,,,,,,,,,,肖嘯
